RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,209.7111111,344.4777778,260.3222222,1639.666667,727.5,2.17178861,-0.352315474,0.724728191,-0.651422238
45,351.3,527.7416667,499.5583333,1930.15,1396.15,1.585985166,-0.448263845,0.590420789,-0.571197069
70,312.2416667,501.1916667,403.1833333,2097.358333,1336.425,1.95282801,-0.454056805,0.674859202,-0.61331538
62,295.6180556,475.0555556,384.9236111,1948.965278,1325.590278,1.937057717,-0.47090662,0.667802796,-0.606910075
54,355.969697,554.8333333,495.7424242,2213.128788,1406.356061,1.72909677,-0.4315747,0.633624825,-0.598476041
46,388.0448718,570.9102564,524.1794872,2056.288462,1560.570513,1.717920854,-0.46294973,0.593535597,-0.564880922
55,303.1388889,469.5902778,396.5555556,1997.284722,1181.708333,1.926910666,-0.430005627,0.668470745,-0.619214664
47,318.8425926,491.9537037,416.0277778,2145.675926,1208.111111,1.940125505,-0.420699328,0.673921082,-0.626649472
41,463.6136364,673.380303,674.4545455,2327.517424,2148.232576,1.4926607,-0.522563004,0.550291497,-0.550599295
48,339.4090909,515.2045455,473.1969697,1875.878788,1310.795455,1.638657216,-0.434748644,0.597061206,-0.568971531
56,307.7916667,482.775,415.9,1926.291667,1230.625,1.917288623,-0.421640691,0.642981368,-0.59486621
71,258.1319444,435.6111111,338.6527778,2145.944444,1130.3125,2.024818357,-0.44178957,0.723660777,-0.659775679
63,259.2174242,397.0272727,313.9681818,1868.457576,943.1545455,2.197564021,-0.405217007,0.71149295,-0.648302913
72,227.2152778,363.8125,274.6736111,1630.388889,846.2013889,2.205566159,-0.395933591,0.710264057,-0.633969615
82,327.4090909,532.5227273,467.4318182,2372.462121,1611.901515,1.752494489,-0.502460244,0.668177865,-0.631951484
99,246.2545455,364.7848485,279.8075758,1565.715909,660.0356061,1.99112443,-0.295082924,0.699877073,-0.625917584
100,345.8106061,532.4772727,496.1742424,1709.015152,1443.878788,1.949260891,-0.439458874,0.545508991,-0.51835338
92,288.05,463.17,387.15,1870.92,1259.03,1.898086349,-0.442514303,0.65993557,-0.603133577
98,273.6515152,432.440404,330.8585859,1769.147475,1034.545455,3.577967626,-0.40424053,0.685167724,-0.606253304
95,234.75,371,286.4074074,1543.166667,763.6574074,2.194201083,-0.343196693,0.686810638,-0.612474347
87,264.4949495,414.979798,326.1616162,1802.30303,1109.676768,2.130732115,-0.448262383,0.692873109,-0.625365734
94,237.7063492,365.2539683,282.8809524,1528.230159,762.952381,2.28862917,-0.346499015,0.687319662,-0.613536937
93,258.7159091,402.4765152,300.8454545,1856.945455,949.9583333,2.312980058,-0.39947247,0.72082749,-0.642039299
86,248.8888889,383.7979798,281.7272727,1887.070707,909.8686869,2.388102212,-0.396870039,0.738668507,-0.660326638
77,328.8163636,493.7036364,425.24,1987.459091,1365.758182,1.920495313,-0.45743376,0.649729496,-0.601602805
76,215.9166667,322.4393939,241.6060606,1365.962121,723.9090909,3.829899758,-0.326632996,0.688286473,-0.600224535
65,241.2,377.9181818,299.0909091,1650.718182,833.1818182,2.109517372,-0.371811453,0.69173643,-0.626604259
75,255.8409091,400.2575758,313.6515152,1833.25,937.8181818,2.163411002,-0.399830783,0.706414109,-0.641185728
74,214.9393939,337.5530303,243.9318182,1610.477273,745.6515152,3.47697293,-0.319137331,0.719715465,-0.629592793
85,306.74,525.93,425.27,2342.35,1465.45,1.878008416,-0.46947732,0.691320843,-0.632587856
84,272.65,451.9666667,327.3333333,2314.241667,1052.516667,2.247099297,-0.398413313,0.751125748,-0.673045134
83,347.125,553.6166667,517.9,2184.983333,1701.583333,1.559755281,-0.507000077,0.61388244,-0.594044983
73,255.9015152,406.9545455,319.5984848,1857.348485,947.2954545,2.087441686,-0.397025298,0.705077849,-0.64036288
64,239.9166667,402.1439394,297.3636364,1891.371212,982.9621212,2.160681014,-0.418279166,0.725772928,-0.647802234
51,304.0330579,468.0743802,409.2479339,1876.520661,1138.876033,1.811219359,-0.416287325,0.641524326,-0.60070978
57,294.3560606,462.6287879,384.8333333,2166.462121,1132.234848,1.98121086,-0.418303441,0.69640068,-0.646790927
49,413.1208333,614.2083333,621.7916667,1484.958333,1328.425,0.973291772,-0.30600714,0.380719784,-0.379631388
42,355.785124,544.0247934,490.0991736,2046.553719,1455.950413,1.696458731,-0.453749456,0.613559772,-0.5796417
43,292.7636364,436.6818182,379.5454545,1739.463636,1086.790909,1.906054384,-0.425123379,0.640657079,-0.598091996
50,341.5277778,525.8263889,480.6388889,1949.743056,1364.930556,1.629680781,-0.441063945,0.604551057,-0.575017437
52,319.280303,483.4469697,445.7575758,1885.234848,1334.583333,1.695591226,-0.462560604,0.617170756,-0.590883558
58,278.3263889,449.2777778,360.5069444,2127.083333,1076.694444,2.020952201,-0.408768463,0.708643948,-0.650725961
59,256.4,412.7333333,336.7444444,1723.788889,978.8,1.939393817,-0.404111654,0.671192861,-0.6125265
53,337.6222222,505.3222222,427.6,2236.633333,1401.222222,2.107207998,-0.459309149,0.683290994,-0.633078164
61,441.63,642.17,619.06,2441.46,1820.4,1.658149633,-0.472321987,0.597414833,-0.584124684
68,332.3090909,490.0181818,414.6,2059.890909,1358.018182,2.134021216,-0.467431054,0.663322711,-0.614499623
60,329.6623377,511.9480519,464.1168831,2107.623377,1321,1.769757044,-0.435279919,0.639091524,-0.608060533
67,324.6712121,504.6583333,448.4939394,2004.941667,1367.944697,1.73857711,-0.453279311,0.635082001,-0.597534562
66,348.4545455,522.9393939,476.8257576,2057.310606,1517.94697,1.740722384,-0.478857791,0.624545103,-0.594084897
78,212.1342593,346.212037,266.3583333,1401.659259,797.0509259,2.144323866,-0.382305386,0.681980858,-0.602633983
79,233.8175926,347.6305556,258.7546296,1376.298148,734.137037,2.574272713,-0.350965438,0.681725462,-0.594322319
90,364.7878788,544.2424242,490.8686869,2235.969697,1602.040404,1.892505016,-0.490377456,0.639896523,-0.608395804
88,248.0166667,364.9916667,291.45,1537,852.6,2.251499274,-0.385051861,0.680060506,-0.613977482
89,262.2777778,419.0666667,342.4111111,1687.122222,941.8555556,1.92141855,-0.383156523,0.664213657,-0.604286826
96,260.8606061,403.1636364,311.0232323,1774.559596,994.9878788,2.487685075,-0.398544437,0.693080735,-0.620077556
97,275.5729167,394.6979167,289.0520833,1649.697917,912.5520833,1.699598216,-0.394202031,0.701086149,-0.613393068
91,274.1818182,384.1958042,286.4755245,1555.454545,703.2937063,8.199397767,-0.288919674,0.688372562,-0.603127191
80,276.2121212,404.9621212,311.5454545,1836.454545,982.6969697,2.054622189,-0.403626092,0.706635023,-0.63535359
81,277.6231061,416.9728535,328.6950758,1694.17298,940.8503788,2.387665527,-0.381000044,0.675392782,-0.605266695
69,242.2575758,342.7424242,257.5909091,1314.984848,750.8484848,4.253800182,-0.368088243,0.673468093,-0.586177389
38,327.8928571,474.4880952,398.0119048,1933.654762,1053.416667,2.232569906,-0.378798045,0.657219306,-0.605285585
44,354.2272727,501.9545455,495.030303,1652.757576,1398.287879,1.792158594,-0.460730322,0.549019459,-0.537398035
1015,591.665404,860.4217172,901.5138889,2604.829545,2419.955808,1.263792092,-0.469215653,0.490034781,-0.502953188
1016,695.875,1026.71875,1137.53125,2883.479167,2971.791667,1.002315931,-0.488137531,0.437477941,-0.475102141
1012,577.2916667,847.3888889,884.7083333,2806.638889,2586.402778,1.295799175,-0.508801401,0.521789862,-0.535601642
1011,462.2037037,693.7314815,638.0740741,3445,1836.648148,1.95493019,-0.417032028,0.680556451,-0.651552205
1010,349.8809524,548.4880952,429.2857143,2785.666667,1371.571429,2.178858685,-0.426949469,0.732006143,-0.669903954
1014,649.608631,955.4657738,1103.296131,3169.046131,3008.071429,1.107369823,-0.515967642,0.461923197,-0.515696183
1017,667.5779221,986.7705628,1086.359307,3296.681818,2888.244589,1.262903152,-0.492533654,0.499464964,-0.530035068
1013,553.8095238,796.9300595,856.3511905,2496.0625,2471.409226,1.243756379,-0.502727446,0.496034421,-0.518064611
1009,420.6857143,640.6142857,637.3571429,2336.957143,1957.471429,1.454649732,-0.500309524,0.573371094,-0.569946045
1001,356.3636364,531.9480519,431.7402597,2403.116883,1574.909091,2.360880282,-0.491947767,0.693243872,-0.635299385
1002,295.9166667,458.0694444,353.0138889,1997.75,1118.194444,2.637492327,-0.417246305,0.698006835,-0.62561514
1005,241.7402597,388.5194805,282.4805195,2047.298701,881.961039,2.376522568,-0.387838589,0.756507305,-0.68068655
1004,306.5,449.9791667,341.7708333,2102.270833,1132.104167,2.989967906,-0.426469783,0.721117735,-0.648002923
1007,421.6904762,640.2261905,666.7619048,2229.761905,2233.77381,1.301170151,-0.55128777,0.53886163,-0.551782886
1008,292.7272727,474.0649351,349.5974026,2582.987013,1269.714286,2.331276536,-0.451678067,0.760315743,-0.68846468
1006,306.4761905,500.6785714,396.702381,2533.345238,1451.52381,2.085067514,-0.481970467,0.729324177,-0.669766277
1003,299.047619,486.202381,415.8095238,2021.142857,1369.702381,1.843459644,-0.461982471,0.664438431,-0.614942446
25,345.9479167,515.2916667,453.0104167,2008.302083,1240.375,1.844773199,-0.409728582,0.63083375,-0.590989684
32,392.5729167,581.3229167,546.6770833,2276.135417,1656.989583,1.772580203,-0.465102566,0.615896722,-0.591539204
37,389.175,569.5333333,570.4333333,1987.033333,1626.941667,1.436394679,-0.478395256,0.552566044,-0.553049917
31,341.7878788,520.5252525,457.6161616,2072.888889,1386.828283,1.869761595,-0.44920636,0.640785196,-0.598775094
24,331.7375,496.475,440.925,1960.8625,1221.9875,1.831038396,-0.418448839,0.632979947,-0.59568454
16,348.5729167,512.09375,470.3229167,1837.875,1303.083333,1.738892039,-0.428960311,0.595094974,-0.564822023
3,403.6688312,593.3944805,560.2386364,2034.295455,1680.165584,1.594590924,-0.472657412,0.570657402,-0.549181074
2,364.797619,537.0714286,498.6071429,1859.845238,1523.928571,1.642566028,-0.477612351,0.576070448,-0.550791353
6,545.5,805.975,885.175,2244.325,2519.8125,1.017923749,-0.513132116,0.436931521,-0.471745175
11,334.1022727,521.4823232,447.3573232,2090.808081,1363.35101,1.835515752,-0.441973786,0.646917939,-0.599865724
7,339.4935065,509.5584416,466.1038961,1835.766234,1262.766234,1.742913255,-0.416666134,0.599699833,-0.566405383
8,291.975,454.3125,377.0625,1715.0875,1071.775,1.923850303,-0.398979411,0.636245322,-0.578074497
9,335.0416667,467.8020833,403.6666667,1563.802083,1064.083333,2.02310384,-0.381588213,0.579894242,-0.528281689
4,413.4567901,591.5617284,568.9290123,2049.174383,1582.882716,1.612457526,-0.454091592,0.565566076,-0.551881128
15,276.2159091,421.9886364,326.6704545,1831.534091,916.25,2.222173379,-0.367565924,0.695900077,-0.624323818
14,666.6574074,969.6851852,1198.009259,2311.648148,3028.888889,0.744202658,-0.49832125,0.334174606,-0.414886914
21,258.5178571,409.6651786,323.9866071,1700.782738,998.6622024,2.053136038,-0.416298946,0.678191702,-0.610438918
22,305.7180556,474.8736111,366.9708333,1927.334722,1067.852778,2.263212617,-0.383301884,0.677910388,-0.603523463
23,329.7159091,515.4318182,465.7840909,1925.590909,1588.579545,1.640031779,-0.508929407,0.609154371,-0.576616639
30,324.7008264,470.6264463,411.6892562,1815.767769,1229.791736,2.402367802,-0.437989801,0.633772243,-0.589485819
36,351.26,569.61,511.51,2341.26,1658.41,1.666831737,-0.486569402,0.638938755,-0.606892323
35,272.0454545,444.1893939,350.8939394,1930.348485,1097.439394,2.031681307,-0.422730121,0.690988714,-0.625305936
34,271,427.7583333,332.15,2022.4,935.2833333,2.223467535,-0.369657183,0.716069901,-0.649832022
29,269.87,416.68,326.02,1837.91,983.73,2.164934671,-0.406734619,0.699554193,-0.631696427
28,270.7355372,423.7107438,334.0165289,1888.512397,980.9256198,2.173612691,-0.395322293,0.698025525,-0.632791292
40,304.6,472.5066116,409.9809917,1958.890909,1158.961157,1.8431917,-0.4193485,0.653364268,-0.610913407
39,280.6083333,451.825,374.3,1944.3,1231.375,1.886345382,-0.462355927,0.672796249,-0.620713621
26,467.8629477,682.584022,697.2320937,2274.353306,1928.222452,1.416940406,-0.471988513,0.532568165,-0.538409463
27,340.7916667,511.1416667,502.025,1881.25,1377.066667,1.521914977,-0.454821291,0.579682777,-0.572509199
20,238.5722222,396.6044444,297.67,1765.274444,940.51,2.123708852,-0.404705444,0.708628309,-0.631289256
13,638.6931818,927.7159091,1026.318182,2403.693182,2823.238636,0.962085606,-0.502621217,0.405342078,-0.443495639
12,306.3425926,459.212963,375.0277778,1789.703704,942.3703704,2.386839193,-0.337932833,0.653372397,-0.591075018
19,396.3257576,577.969697,597.2121212,1812.613636,1562.590909,1.338468379,-0.452393157,0.507998648,-0.517454927
18,260.2769231,414.7,350.9846154,1786.346154,972.1461538,1.875515268,-0.398654961,0.671480619,-0.623148895
17,256.7909091,416.3727273,356.2545455,1772.081818,1014.672727,1.799241042,-0.416897186,0.665277833,-0.619751388
33,345.3888889,549.8194444,499.2708333,2255.590278,1422.875,1.6592883,-0.440056997,0.636973068,-0.607358178
10,224.1818182,364.3506494,272.9220779,1625.662338,768.7922078,2.190090327,-0.352621501,0.710451419,-0.63186147
5,314.1666667,477.7291667,382.0729167,1988,1163.270833,2.249654225,-0.417289505,0.674936463,-0.610779275
