"","RIP_Measure","ID","Tree","Species","Status","DBH","TotalHt","Aged","CrownHT","CrownPct","Damage","BeetleIndex","NOTE","RIPID","Measurement","year","ba","ba.live","total.count","live.count","DBHsq"
"101","10-2",9620,668,"DF",NA,15,70.5,0,43,NA,NA,NA,NA,10,2,2015,1.22715,1.22715,1,1,225
"102","10-2",9621,669,"DF",NA,8.5,52.7,0,36,NA,33,NA,NA,10,2,2015,0.3940515,0.3940515,1,1,72.25
"103","10-2",9619,666,"DF",NA,10.6,59.4,0,31,NA,NA,NA,NA,10,2,2015,0.61281144,0.61281144,1,1,112.36
"104","10-2",9628,676,"DF",NA,22.5,98.3,0,40.6,NA,86,NA,NA,10,2,2015,2.7610875,2.7610875,1,1,506.25
"105","10-2",9629,677,"WL",NA,8,63.1,0,45.2,NA,NA,NA,NA,10,2,2015,0.349056,0.349056,1,1,64
"106","10-2",9630,678,"WL",NA,5.8,55.3,0,46.1,NA,91,NA,NA,10,2,2015,0.18347256,0.18347256,1,1,33.64
"107","10-2",9631,679,"WL","DS",6.6,NA,0,NA,NA,9167,NA,NA,10,2,2015,0.23757624,0,1,0,43.56
"108","10-2",9632,680,"WL",NA,9.4,76.6,0,50.8,NA,NA,NA,NA,10,2,2015,0.48191544,0.48191544,1,1,88.36
"109","10-2",9633,681,"WL",NA,6,59,0,36.6,NA,868883,NA,NA,10,2,2015,0.196344,0.196344,1,1,36
"110","10-2",9634,682,"DF",NA,15.3,77,0,43.6,NA,85,NA,NA,10,2,2015,1.27672686,1.27672686,1,1,234.09
"111","10-2",9622,670,"DF",NA,12.9,64,0,33,NA,85,NA,NA,10,2,2015,0.90760014,0.90760014,1,1,166.41
"112","10-2",9623,3527,"DF",NA,16.3,70.3,0,24,NA,NA,NA,NA,10,2,2015,1.44907326,1.44907326,1,1,265.69
"113","10-2",9624,672,"DF",NA,16.6,77.6,0,32,NA,8685,NA,NA,10,2,2015,1.50290424,1.50290424,1,1,275.56
"114","10-2",9625,673,"DF",NA,24.4,102.1,0,45.4,NA,86,NA,NA,10,2,2015,3.24709344,3.24709344,1,1,595.36
"115","10-2",9626,674,"WL",NA,9.8,78,0,47,NA,NA,NA,NA,10,2,2015,0.52380216,0.52380216,1,1,96.04
"117","10-2",9601,648,"DF","DS",5.2,NA,0,NA,NA,NA,NA,NA,10,2,2015,0.14747616,0,1,0,27.04
"118","10-2",9602,3592,"DF",NA,11.7,70.5,0,38,NA,84,NA,NA,10,2,2015,0.74659806,0.74659806,1,1,136.89
"119","10-2",9603,650,"WL",NA,15.3,85,0,49.3,NA,NA,NA,NA,10,2,2015,1.27672686,1.27672686,1,1,234.09
"120","10-2",9604,651,"DF",NA,15.3,73.8,0,47.6,NA,31,NA,NA,10,2,2015,1.27672686,1.27672686,1,1,234.09
"121","10-2",9605,652,"WL",NA,6.3,46.7,0,18,NA,NA,NA,NA,10,2,2015,0.21646926,0.21646926,1,1,39.69
"122","10-2",9606,653,"DF",NA,14.7,80,0,46,NA,NA,NA,NA,10,2,2015,1.17855486,1.17855486,1,1,216.09
"123","10-2",9607,654,"DF",NA,12.7,77,0,49.8,NA,86,NA,NA,10,2,2015,0.87967566,0.87967566,1,1,161.29
"124","10-2",9608,655,"WL",NA,8.2,64.3,0,33,NA,NA,NA,NA,10,2,2015,0.36672696,0.36672696,1,1,67.24
"125","10-2",9609,656,"WL",NA,10.7,77.3,0,45,NA,NA,NA,NA,10,2,2015,0.62442846,0.62442846,1,1,114.49
"126","10-2",9610,657,"WL",NA,6.3,38,0,26,NA,82,NA,NA,10,2,2015,0.21646926,0.21646926,1,1,39.69
"127","10-2",9611,658,"WL",NA,9.2,76.8,0,47.6,NA,NA,NA,NA,10,2,2015,0.46162656,0.46162656,1,1,84.64
"128","10-2",9612,659,"DF",NA,6.8,37,0,22.5,NA,82,NA,NA,10,2,2015,0.25219296,0.25219296,1,1,46.24
"130","10-2",9614,661,"DF",NA,15.8,76,0,42.6,NA,NA,NA,NA,10,2,2015,1.36153656,1.36153656,1,1,249.64
"131","10-2",9615,662,"DF",NA,6.2,33,0,17.4,NA,8691,NA,NA,10,2,2015,0.20965176,0.20965176,1,1,38.44
"132","10-2",9616,663,"DF",NA,17.8,83.4,0,31.4,NA,NA,NA,NA,10,2,2015,1.72804536,1.72804536,1,1,316.84
"133","10-2",9617,664,"DF",NA,10.1,62,0,40,NA,86,NA,NA,10,2,2015,0.55636254,0.55636254,1,1,102.01
"134","10-2",9618,665,"DF",NA,13.5,71.6,0,39.6,NA,NA,NA,NA,10,2,2015,0.9939915,0.9939915,1,1,182.25
"135","10-2",9645,693,"DF",NA,16.7,73,0,48.4,NA,8682,NA,NA,10,2,2015,1.52106606,1.52106606,1,1,278.89
"136","10-2",9646,694,"DF",NA,7.8,51.2,0,40,NA,91,NA,NA,10,2,2015,0.33182136,0.33182136,1,1,60.84
"137","10-2",9647,696,"WL",NA,6.1,57.5,0,46,NA,NA,NA,NA,10,2,2015,0.20294334,0.20294334,1,1,37.21
"138","10-2",9635,683,"WL",NA,9.7,78.6,0,44.7,NA,NA,NA,NA,10,2,2015,0.51316686,0.51316686,1,1,94.09
"139","10-2",9636,684,"WL",NA,6.8,67,0,41,NA,NA,NA,NA,10,2,2015,0.25219296,0.25219296,1,1,46.24
"140","10-2",9637,685,"DF",NA,10.3,73.7,0,42.8,NA,NA,NA,NA,10,2,2015,0.57861486,0.57861486,1,1,106.09
"141","10-2",9638,686,"WL",NA,6.4,67.3,0,54.4,NA,NA,NA,NA,10,2,2015,0.22339584,0.22339584,1,1,40.96
"142","10-2",9639,687,"DF",NA,7.3,53.1,0,40,NA,NA,NA,NA,10,2,2015,0.29064366,0.29064366,1,1,53.29
"143","10-2",9640,688,"DF",NA,11.2,63,0,30.8,NA,NA,NA,NA,10,2,2015,0.68414976,0.68414976,1,1,125.44
"144","10-2",9641,689,"DF",NA,11.6,77.2,0,53,NA,NA,NA,NA,10,2,2015,0.73389024,0.73389024,1,1,134.56
"145","10-2",9642,690,"DF",NA,19.2,94.7,0,54.2,NA,NA,NA,NA,10,2,2015,2.01056256,2.01056256,1,1,368.64
"146","10-2",9643,691,"DF",NA,7.9,47.2,0,37,NA,9182,NA,NA,10,2,2015,0.34038414,0.34038414,1,1,62.41
"147","10-2",9644,692,"DF",NA,11,67.1,0,41.6,NA,8731,NA,NA,10,2,2015,0.659934,0.659934,1,1,121
"149","10-2",9650,3099,"DF",NA,19.7,99.6,0,48,NA,86,NA,NA,10,2,2015,2.11664286,2.11664286,1,1,388.09
"150","10-2",9648,697,"DF",NA,15.8,74.9,0,44,NA,85,NA,NA,10,2,2015,1.36153656,1.36153656,1,1,249.64
